Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Prestação de Serviços de Corte de Ervas nos Passeios nas Freguesias de Fernão Ferro e Corroios pelo Período de 12 meses - Lote 1 - Freguesia de Corroios - Lote 2 - Freguesia de Fernão Ferro;Concurso público;Aquisição de serviços;"77312100-1, Serviços de eliminação de ervas daninhas";Município do Seixal (506173968);"Purgest - Serviços Ambientais, Lda. (514780355)";"132.873,07 €";26-04-2019;10-04-2019;365 dias;"Portugal, Setúbal, Seixal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 110008/2019 Aquisição de Gases Medicinais;Concurso público;Aquisição de bens móveis;"24100000-5, Gases";"Hospital Distrital de Santarém, E. P. E. (506361462)";AIR LIQUIDE MEDICINAL SA (501576436);"14.128,50 €";26-04-2019;09-04-2019;260 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Impressão, Revisão e Dobragem da Revista Municipal de Marco de Canaveses - Ano 2019";Concurso público;Aquisição de serviços;"79810000-5, Serviços de impressão";Municipio do Marco de Canaveses (501073655);"LIDERGRAF - ARTES GRÁFICAS, Lda (503179396)";"27.000,00 €";26-04-2019;12-04-2019;262 dias;"Portugal, Porto, Marco de Canaveses";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de bens - louças, vidros e talheres";Concurso público;Aquisição de bens móveis;"39221000-7, Equipamento de cozinha";"Oporto Boeira Garden Hotel, L.da (513951750)";"Nortel - Comércio de Equipamentos hoteleiros, Lda (501509046)";"107.497,29 €";26-04-2019;26-04-2019;50 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Imunohemoterapia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"NORMAX FABRICA VIDROS CIENTIFICOS, LDA (500203130)";"171,20 €";26-04-2019;28-02-2019;300 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Imunohemoterapia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"SARSTEDT - TECNOLOGIA DE LABORATÓRIO, S.A. (503019461)";"1.288,00 €";26-04-2019;28-02-2019;300 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Manutenção e Suporte Técnico aos Equipamentos Rede WAN - OA069418;Concurso público;Aquisição de serviços;"50334400-9, Serviços de manutenção de sistemas de comunicações";Banco de Portugal (500792771);"MEO - Serviços de Comunicações e Multimédia, S.A. (504615947)";"35.228,64 €";26-04-2019;03-04-2019;1095 dias;"Portugal, Região Autónoma da Madeira, Funchal<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Braga, Braga<BR/>Portugal, Porto, Porto<BR/>Portugal, Lisboa, Alenquer<BR/>Portugal, Região Autónoma dos Açores, Ponta Delgada<BR/>Portugal, Faro, Faro<BR/>Portugal, Évora, Évora<BR/>Portugal, Castelo Branco, Castelo Branco<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Imunohemoterapia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";PMH-PROD.MEDICO-HOSPITALARES (502376899);"2.480,50 €";26-04-2019;28-02-2019;300 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Imunohemoterapia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"FRESENIUS KABI PHARMA PORTUGAL, LDA. (504293753)";"3.850,00 €";26-04-2019;28-02-2019;300 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Imunohemoterapia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"GRIFOLS PORTUGAL - PROD. FARMAC. E HOSP., LDA. (502041285)";"661,50 €";26-04-2019;28-02-2019;300 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de Serviços de Aluguer de Módulos Pré-Fabricados para Instalação no C. S. Sertã;Concurso público;Aquisição de serviços;"55250000-7, Serviços de aluguer de alojamentos mobilados de curta duração";"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"ELEVATRANS, LDA (504072811)";"23.725,00 €";26-04-2019;03-09-2018;150 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";28-02-2019;"23.725,00 €";;;;Não aplicável.;Não aplicável.;false
Manutenção de Estores - OA006119;Concurso público;Aquisição de serviços;"50700000-2, Serviços de reparação e manutenção de equipamento em edifícios";Banco de Portugal (500792771);"M.L.Moita - Sociedade Geral de Construção Civil, Lda. (502353597)";"49.000,00 €";26-04-2019;15-04-2019;1095 dias;"Portugal, Lisboa, Alenquer<BR/>Portugal, Lisboa, Odivelas<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de filtros bacteriológicos Ano 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";AIR LIQUIDE MEDICINAL SA (501576436);"18.711,30 €";26-04-2019;14-02-2019;315 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Respiradores P1 e P2;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Hospital Distrital de Santarém, EPE (506361462)";"Factor Plus -Produtos Médicos e Hospitalares, S.A. (502810645)";"11.080,00 €";26-04-2019;22-02-2019;310 dias;"Portugal, Santarém, Santarém";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público n.º 02 - SC/IPS/2019 - Aquisição de Prestação de Serviços de Viagens para o Instituto Politécnico de Setúbal;Concurso público;Aquisição de serviços;"63510000-7, Serviços de agências de viagens e serviços similares";Instituto Politécnico de Setúbal (503720364);"Osíris - Viagens e Turismo, Lda. (505259397)";"120.000,00 €";26-04-2019;27-03-2019;365 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Reabilitação de edifícios: Catedral de Idanha-a-Velha (igreja de santa maria); Capela de São Dâmaso; dois Palheiros junto à muralha norte";Concurso público;Empreitadas de obras públicas;"45212000-6, Obras de construção de edifícios relacionados com recreio, desporto, cultura, alojamento e restauração";Municipio de Idanha-a-Nova (501121030);"Monteiro Queirós Unipessoal, Lda (514404450)";"181.155,68 €";26-04-2019;12-04-2019;270 dias;"Portugal, Castelo Branco, Idanha-a-Nova";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços de Gestão de Resisuos Sólidos Urbanos da Universidade de Lisboa;Concurso público;Aquisição de serviços;"90511100-3, Serviços de recolha de resíduos sólidos urbanos";Faculdade de Medicina Dentária da Universidade de Lisboa (503013366);Município de Lisboa (500051070);"10.730,16 €";26-04-2019;14-02-2019;1051 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
"CONCURSO PÚBLICO Nº NCC_FDUP_CPN/18A001 ""SUBSCRIÇÃO DE PUBLICAÇÕES PERIÓDICAS ESTRANGEIRAS PARA A FDUP""";Concurso público;Aquisição de bens móveis;"22212000-9, Publicações periódicas";Universidade do Porto (501413197);EBSCO Information Services S.L.U. (B85765766);"31.807,70 €";26-04-2019;04-03-2019;303 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 065/2018 Aquisição de Peças para a Reparação e Manutenção de Viaturas da Marca Volvo;Concurso público;Aquisição de bens móveis;"31420000-6, Baterias primárias";"EMARP - Empresa Municipal de Águas e Resíduos de Portimão, EM, SA (505322730)";COPEROL - D. COSTA S.A. (502021160);"2.000,00 €";26-04-2019;18-12-2018;730 dias;"Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Desmatação de Terrenos e Limpeza de Valas Municipais pelo período de 12 meses - Lote 1 - Freguesia de Corroios - Lote 2 - Freguesia de Amora - Lote 3 - Freguesia de Fernão Ferro e Valas, com Publicação no JOUE";Concurso público;Aquisição de serviços;"77314000-4, Serviços de manutenção de terrenos";Município do Seixal (506173968);"Triambiente - Serviços Ambientais, Ldª. (504265261)";"152.700,00 €";26-04-2019;22-04-2019;365 dias;"Portugal, Setúbal, Seixal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de 2 (duas) viaturas ligeiras de mercadorias. ;Concurso público;Aquisição de bens móveis;"34110000-1, Automóveis de passageiros";Serviços Intermunicipalizados de Águas e Resíduos dos Municípios de Loures e Odivelas (680009671);"Ambienti D'Interni, Unipessoal, L.da (508369444)";"48.490,00 €";26-04-2019;09-04-2019;90 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
2018/189 - DGEP - Conservação e reparação de pavimentos em Carnaxide e Caxias;Concurso público;Empreitadas de obras públicas;"45233200-1, Obras diversas de pavimentação";Município de Oeiras (500745943);"Topbet - Trabalhos de Obras Públicas e Pavimentos Betuminosos, SA (503847933)";"232.849,80 €";26-04-2019;25-03-2019;365 dias;"Portugal, Lisboa, Oeiras<BR/>Portugal, Lisboa, Oeiras";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de papel e outros consumíveis de economato;Concurso público;Aquisição de bens móveis;"30100000-0, Máquinas, equipamento e material de escritório, excepto computadores, impressoras e mobiliário";Município de Santa Maria da Feira (501157280);"MAXONE - Material de Escritório, Lda. (507052609)";"1.897,50 €";26-04-2019;24-04-2019;304 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de Energia Elétrica para Instalações da AIRC Abastecidas em Média Tensão;Concurso público;Aquisição de bens móveis;"09310000-5, Electricidade";AIRC - Associação de Informática da Região do Centro (501378669);"Ecochoice, S.A. (508080991)";"51.663,45 €";26-04-2019;11-04-2019;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
2018/196 - DGEP - Conservação e manutenção de pavimentos em Algés e Porto Salvo;Concurso público;Empreitadas de obras públicas;"45233200-1, Obras diversas de pavimentação";Município de Oeiras (500745943);"Topbet - Trabalhos de Obras Públicas e Pavimentos Betuminosos, SA (503847933)";"233.310,25 €";26-04-2019;25-03-2019;365 dias;"Portugal, Lisboa, Oeiras<BR/>Portugal, Lisboa, Oeiras";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Reabilitação do Largo da Feira e Envolvente;Concurso público;Empreitadas de obras públicas;"45233200-1, Obras diversas de pavimentação";Município da Póvoa de Lanhoso (506632920);"Cândido José Rodrigues, S.A. (500326517), ANTÓNIO ALVES PEREIRA (510131735)";"756.436,00 €";26-04-2019;28-01-2019;540 dias;"Portugal, Braga, Póvoa de Lanhoso";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de leite e produtos lácteos para diversos espaços de venda da Fundação INATEL;Concurso público;Aquisição de bens móveis;"15500000-3, Lacticínios";Fundação INATEL (500122237);"Sogenave - Soc. Geral Abastecimentos a Navegação e Industria Hoteleira, S. A. (500271518)";"75.122,72 €";26-04-2019;24-04-2019;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
EMPREITADA DE REABILITAÇÃO DO COMPLEXO DE PISCINAS MUNICIPAIS DE ALMEIRIM;Concurso público;Empreitadas de obras públicas;"45212290-5, Reparação e manutenção de instalações desportivas";Município de Almeirim (501273433);"HACL - Sociedade de construções, Lda (506335275)";"521.582,64 €";26-04-2019;16-04-2019;180 dias;"Portugal, Santarém, Almeirim";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"NPD nº 5493003372 - Contratação de serviços de viagens, alojamento e serviços conexos.";Concurso público;Aquisição de serviços;"63500000-4, Serviços de agências de viagens, de operadores turísticos e de assistência a turistas";"INFARMED - Autoridade Nacional do Medicamento e Produtos de Saúde, I. P. (600037002)";"Raso – Viagens e Turismo, S.A. (GEOSTAR) (500886113)";"170.000,00 €";26-04-2019;08-04-2019;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material de Penso - Tratamento de Feridas para 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"KVTECH PORTUGAL -PRODUTOS MEDICOS, UNIPESSOAL,LDA. (508671531)";"18.299,00 €";26-04-2019;22-02-2019;312 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material de Penso - Tratamento de Feridas para 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"MEDICINÁLIA CORMÉDICA, LDA. (500684324)";"23.825,00 €";26-04-2019;08-04-2019;267 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material de Penso - Tratamento de Feridas para 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"PAUL HARTMANN, LDA. (502271728)";"63.649,38 €";26-04-2019;17-04-2019;277 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Seguro de Acidentes Pessoais para formandos que frequentam ações de formação e candidatos integrados em processos de Reconhecimento, Validação e Certificação de Competências (RVCC), do Instituto do Emprego e Formação Profissional I.P. - anuidade 2019/2020.";Concurso público;Aquisição de serviços;"66511000-5, Serviços de seguros de vida";"Instituto do Emprego e Formação Profissional, IP (501442600)";Aon Portugal (500946728);"201.804,65 €";26-04-2019;12-04-2019;365 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";29-04-2019;"201.801,84 €";;"devido a arredondamento na aplicação de taxas o valor apresentado a pagamento foi inferior em € 2,81";;Não aplicável.;Não aplicável.;false
Aquisição de serviços de transporte de passageiros em veículos automóveis com motorista para deslocações oficiais;Concurso público;Aquisição de serviços;"60170000-0, Aluguer de veículos para transporte de passageiros com condutor";Assembleia da República (600054128);"ETAC - Empresa de Transportes António Cunha, S.A. (500158029)";"276.000,00 €";26-04-2019;06-03-2019;1095 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
DM - Suturas;Concurso público;Aquisição de bens móveis;"33141100-1, Pensos; clipes, suturas, ligaduras";"Hospital do Espírito Santo de Évora, EPE (508085888)";"HR  HOSPITALAR,Unipessoal, LDA (501895558)";"611,64 €";26-04-2019;16-01-2019;340 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
DM - Suturas;Concurso público;Aquisição de bens móveis;"33141100-1, Pensos; clipes, suturas, ligaduras";"Hospital do Espírito Santo de Évora, EPE (508085888)";"MEDTRONIC PORTUGAL, LDA. (504223933)";"5.515,68 €";26-04-2019;16-01-2019;340 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de pneus e serviços de manutenção correlacionados;Concurso público;Aquisição de bens móveis;"34300000-0, Peças e acessórios para veículos e seus motores";Município de Santa Maria da Feira (501157280);"Recauchutagem São Mamede, Lda. (504130307)";"19.473,72 €";26-04-2019;24-04-2019;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
DM - Suturas;Concurso público;Aquisição de bens móveis;"33141100-1, Pensos; clipes, suturas, ligaduras";"Hospital do Espírito Santo de Évora, EPE (508085888)";"B. Braun Medical, Lda. (501506543)";"23.862,48 €";26-04-2019;16-01-2019;340 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
190026/19 - PS Telerradiologia;Concurso público;Aquisição de serviços;"85150000-5, Serviços de imagiologia médica";"Hospital do Espírito Santo de Évora, E. P. E. (508085888)";Dr. Campos Costa - Consultório de Tomografia Computorizada (502082429);"324.335,00 €";26-04-2019;20-02-2019;300 dias;"Portugal, Évora, Évora";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de hotelaria no âmbito das ""Viagens Fundação INATEL - Nacionais""";Concurso público;Aquisição de serviços;"55100000-1, Serviços de hotelaria";Fundação INATEL (500122237);"Terras Serranas - Desenvolvimento Turístico e Imobiliário, S. A. (506468801)";"6.076,60 €";26-04-2019;24-04-2019;188 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de hotelaria no âmbito das ""Viagens Fundação INATEL - Nacionais""";Concurso público;Aquisição de serviços;"55100000-1, Serviços de hotelaria";Fundação INATEL (500122237);"Beleza do Monte - Desenvolvimento Turístico e Imobiliário, S. A. (509686320)";"13.531,44 €";26-04-2019;24-04-2019;188 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de hotelaria no âmbito das ""Viagens Fundação INATEL - Nacionais""";Concurso público;Aquisição de serviços;"55100000-1, Serviços de hotelaria";Fundação INATEL (500122237);"Staroteis - Sociedade Hoteleira, S. A. (504227750)";"5.397,66 €";26-04-2019;24-04-2019;188 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de Manutenção e Assistência Técnica a Veículos Multimarca ;Concurso público;Aquisição de serviços;"50112000-3, Serviços de reparação e manutenção de automóveis";Polícia de Segurança Pública (600006662);"SAFEMOBILITY - TRANSFORMAÇÃO DE VEÍCULOS ESPECIAIS, UNIPESSOAL LDA (513338667)";"50.000,00 €";26-04-2019;11-04-2019;265 dias;"Portugal, Braga";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de lavandaria em regime de outsourcing para as unidades hoteleiras de Albufeira e São Pedro do Sul;Concurso público;Aquisição de serviços;"98311000-6, Serviços de recolha de roupa por lavandarias";Fundação INATEL (500122237);"S. Julião - Lavandaria, Engomadoria e Limpeza Unipessoal, Lda. (503855014)";"56.323,57 €";26-04-2019;24-04-2019;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Zona de Operação e Manutenção (ZOM5) das infra-estruturas de abastecimento de água e drenagem de águas residuais dos Serviços Municipalizados de Castelo Branco ;Concurso público;Empreitadas de obras públicas;"45231300-8, Construção de condutas para água e águas residuais";Serviços Municipalizados de Castelo Branco (680017640);João de Almeida Barata (147752892);"119.070,64 €";26-04-2019;24-04-2019;365 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Serviços de manutenção e suporte do Licenciamento ORACLE para o Ministério da Saúde;Concurso público;Aquisição de serviços;"72260000-5, Serviços relacionados com software";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"Normática - Serviços de Informática e Organização, S.A. (501782230)";"5.862.414,51 €";24-04-2019;22-01-2019;990 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de 91.500 marcas auriculares duplas com recolha de ADN;Concurso público;Aquisição de bens móveis;"03341000-3, Brincos para bovinos";Secretaria Regional da Agricultura e Florestas - Direção Regional da Agricultura (600085872);"Plurivet - Veterinária e Pecuária, Lda. (508766737)";"191.235,00 €";24-04-2019;01-04-2019;60 dias;"Portugal, Região Autónoma dos Açores, Angra do Heroismo";"Artigo 20.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento e Instalação de Luminárias LED para a cidade de Lagos;Concurso público;Aquisição de bens móveis;"34928500-3, Equipamento de iluminação pública";Município de Lagos (505170876);"JOAQUIM SEQUEIRA VIEIRA URBANIZAÇÕES E CONSTRUÇÕES, UNIPESSOAL, LDA (506868230)";"307.272,97 €";24-04-2019;09-04-2019;180 dias;"Portugal, Faro, Lagos";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"2018/159 - DGEP - Construção de rotunda em Leceia, Oeiras";Concurso público;Empreitadas de obras públicas;"45233140-2, Obras em estradas<BR/>45232460-4, Obras de saneamento<BR/>45262310-7, Obras em betão armado<BR/>45316000-5, Instalação de sistemas de iluminação e de sinalização<BR/>45112710-5, Trabalhos de paisagismo em áreas verdes";Município de Oeiras (500745943);"Sibafil Soc Empreitadas, Lda (502808071)";"297.000,00 €";24-04-2019;12-04-2019;120 dias;"Portugal, Lisboa, Oeiras";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diversos fardamentos para vários serviços do Município do Funchal;Concurso público;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Câmara Municipal do Funchal (511217315);"Hidromadeira-Hidráulica e materiais de Construção, S.A. (511178980)";"14.343,75 €";24-04-2019;01-04-2019;365 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE MATERIAL DE ESCRITÓRIO E DE PAPEL DE FOTOCÓPIA E IMPRESSÃO EM FORMATO A4 E A3 PARA A SANTA CASA DA MISERICÓRDIA DE LISBOA;Concurso público;Aquisição de bens móveis;"30192000-1, Material de escritório<BR/>30197630-1, Papel para impressão";Santa Casa da Misericórdia de Lisboa (500745471);"STAPLES Portugal - Equipamento de Escritório, S.A. (503789372)";"414.645,20 €";24-04-2019;23-04-2019;730 dias;"Portugal, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diversos fardamentos para vários serviços do Município do Funchal;Concurso público;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Câmara Municipal do Funchal (511217315);"Vianas, S.A. (501745068)";"104.886,40 €";24-04-2019;01-04-2019;365 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Acesso e ligação do edifício à via existente; execução de muros e vedação exterior, permitindo por um lado o limite do lote, e de uma forma controlada que os animais possam temporariamente sair das celas onde estão alojados; execução de parte central do edifício composta por área destinada ao canil constituída por uma zona para cães errantes e capturados com 30 celas individuais com solário e uma zona adaptada provisoriamente para posto de assistência e vacinação, e ainda a construção de um espaço destinado a armazém; instalações, execução de todas as redes de infraestruturas, nomeadamente rede de abastecimento de água, rede de águas residuais domésticas e pluviais, instalações elétricas e telecomunicações, segurança contra incêndios, estudo térmico, cálculo acústico e garantir condições de acessibilidade ao edifício.";Concurso público;Empreitadas de obras públicas;"45211360-0, Obras de urbanização";Município de Sesimbra (501144218);"Miguel A. Simões, Unipessoal, La. (509663613)";"444.157,04 €";24-04-2019;21-01-2019;300 dias;"Portugal, Setúbal, Sesimbra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição, por lotes, de equipamentos informáticos e software, para reforço da infraestrutura da rede informática da Direção-Geral do Tribunal de Contas";Concurso público;Aquisição de bens móveis;"30213100-6, Computadores portáteis<BR/>30234300-1, Discos compactos (CD)";Direção-Geral do Tribunal de Contas (600018709);"Basedois - Informática e Telecomunicações, Lda (501333401)";"27.260,00 €";24-04-2019;15-04-2019;20 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diversos fardamentos para vários serviços do Município do Funchal;Concurso público;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Câmara Municipal do Funchal (511217315);"Interfire, Lda,  (509033237)";"10.365,54 €";24-04-2019;01-04-2019;365 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diversos fardamentos para vários serviços do Município do Funchal;Concurso público;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Câmara Municipal do Funchal (511217315);"ITURRI Portugal - Indústria e Segurança, S.A. (503989231)";"55.208,38 €";24-04-2019;01-04-2019;365 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
